Time,Execution Time
Thu Nov 26 16:34:49 2020,0.9429161548614502
Thu Nov 26 16:34:51 2020,1.082740068435669
Thu Nov 26 16:34:53 2020,1.0169358253479004
Thu Nov 26 16:34:55 2020,1.030663013458252
Thu Nov 26 16:34:57 2020,1.026728868484497
Thu Nov 26 16:34:59 2020,1.0390288829803467
Thu Nov 26 16:35:01 2020,0.9216179847717285
Thu Nov 26 16:35:03 2020,0.9404778480529785
Thu Nov 26 16:35:05 2020,0.8820500373840332
Thu Nov 26 16:35:07 2020,0.9947619438171387
Thu Nov 26 16:35:09 2020,0.9277439117431641
Thu Nov 26 16:35:11 2020,1.1229841709136963
Thu Nov 26 16:35:13 2020,1.0356032848358154
Thu Nov 26 16:35:15 2020,1.033695936203003
Thu Nov 26 16:35:17 2020,0.9590640068054199
Thu Nov 26 16:35:19 2020,1.0661170482635498
Thu Nov 26 16:35:21 2020,1.0192010402679443
Thu Nov 26 16:35:23 2020,1.030426025390625
Thu Nov 26 16:35:25 2020,0.9582791328430176
Thu Nov 26 16:35:27 2020,1.0826809406280518
Thu Nov 26 16:35:29 2020,1.0531330108642578
Thu Nov 26 16:35:31 2020,1.0200681686401367
Thu Nov 26 16:35:33 2020,0.9334189891815186
Thu Nov 26 16:35:35 2020,0.9225270748138428
Thu Nov 26 16:35:37 2020,1.0266869068145752
Thu Nov 26 16:35:39 2020,0.9790859222412109
Thu Nov 26 16:35:41 2020,1.0605518817901611
Thu Nov 26 16:35:43 2020,1.0069303512573242
Thu Nov 26 16:35:45 2020,0.9342951774597168
Thu Nov 26 16:35:47 2020,1.026298999786377
Thu Nov 26 16:35:49 2020,0.9690220355987549
Thu Nov 26 16:35:51 2020,0.9724411964416504
Thu Nov 26 16:35:53 2020,0.8938758373260498
Thu Nov 26 16:35:56 2020,1.1699650287628174
Thu Nov 26 16:35:57 2020,0.918463945388794
Thu Nov 26 16:35:59 2020,0.9058382511138916
Thu Nov 26 16:36:01 2020,0.9499740600585938
Thu Nov 26 16:36:03 2020,0.9316160678863525
Thu Nov 26 16:36:05 2020,0.9299428462982178
Thu Nov 26 16:36:07 2020,0.9233231544494629
Thu Nov 26 16:36:09 2020,1.0252411365509033
Thu Nov 26 16:36:11 2020,0.9208509922027588
Thu Nov 26 16:36:13 2020,0.8728940486907959
Thu Nov 26 16:36:15 2020,0.9898068904876709
Thu Nov 26 16:36:19 2020,1.130990982055664
Thu Nov 26 16:36:21 2020,0.9809441566467285
Thu Nov 26 16:36:23 2020,0.9422898292541504
Thu Nov 26 16:36:25 2020,0.9842650890350342
Thu Nov 26 16:36:27 2020,1.012563943862915
Thu Nov 26 16:36:29 2020,1.0226550102233887
Thu Nov 26 16:36:31 2020,1.2244369983673096
Thu Nov 26 16:36:33 2020,1.039726972579956
Thu Nov 26 16:36:35 2020,0.9238901138305664
Thu Nov 26 16:36:37 2020,1.02339506149292
Thu Nov 26 16:36:39 2020,0.9228591918945312
Thu Nov 26 16:36:41 2020,1.0228190422058105
Thu Nov 26 16:36:43 2020,1.033949851989746
Thu Nov 26 16:36:45 2020,1.03277587890625
Thu Nov 26 16:36:47 2020,1.0244059562683105
Thu Nov 26 16:36:49 2020,0.9814388751983643
Thu Nov 26 16:36:52 2020,1.0773169994354248
Thu Nov 26 16:36:54 2020,1.0182812213897705
Thu Nov 26 16:36:56 2020,1.0054409503936768
Thu Nov 26 16:36:58 2020,0.8900651931762695
Thu Nov 26 16:37:00 2020,1.0795478820800781
Thu Nov 26 16:37:02 2020,1.0025599002838135
Thu Nov 26 16:37:04 2020,1.024733066558838
Thu Nov 26 16:37:06 2020,1.0214989185333252
Thu Nov 26 16:37:08 2020,1.0298259258270264
Thu Nov 26 16:37:10 2020,1.0307579040527344
Thu Nov 26 16:37:12 2020,1.0253901481628418
Thu Nov 26 16:37:14 2020,1.031120777130127
Thu Nov 26 16:37:16 2020,1.0360791683197021
Thu Nov 26 16:37:18 2020,1.039111852645874
Thu Nov 26 16:37:20 2020,0.923306941986084
Thu Nov 26 16:37:22 2020,1.0135831832885742
Thu Nov 26 16:37:24 2020,0.9201741218566895
Thu Nov 26 16:37:26 2020,1.0393877029418945
Thu Nov 26 16:37:28 2020,1.0235989093780518
Thu Nov 26 16:37:31 2020,1.20461106300354
Thu Nov 26 16:37:32 2020,0.9224948883056641
Thu Nov 26 16:37:34 2020,0.9503989219665527
Thu Nov 26 16:37:36 2020,1.0076260566711426
Thu Nov 26 16:37:39 2020,1.0260858535766602
Thu Nov 26 16:37:40 2020,0.8787877559661865
Thu Nov 26 16:37:42 2020,0.9634089469909668
Thu Nov 26 16:37:44 2020,1.0259950160980225
